Time,aat,temp_station,solar_station,lst,veg_p,man_p,wat_p,canopy_p
6/14/2019 11:30,25.336,24.63888889,886.3,38.75,0.15,0.85,0,0
6/14/2019 11:30,25.25,24.16666667,844,38.95,0.32,0.67,0.01,0.03
6/14/2019 11:30,24.66,24.39444444,875.9,40.35,0.41,0.56,0,0.02
6/14/2019 11:30,25.62,24.16666667,844,32.85,0.74,0.26,0,0.03
6/14/2019 11:30,25.395,24.81944444,889.25,38.75,0.44,0.53,0,0.03
6/14/2019 11:30,24.405,24.38888889,866.75,39.25,0.51,0.34,0,0
6/14/2019 11:30,25.262,24.41666667,867.1,33.95,0.19,0.81,0,0.06
6/14/2019 11:30,24.98727273,24.62626263,883.4090909,39.35,0.33,0.63,0,0
6/14/2019 11:30,25.036,24.63888889,886.3,39.45,0.47,0.51,0,0.05
6/14/2019 11:30,25.35571429,24.80224868,886.4642857,38.25,0.36,0.63,0,0.02
6/14/2019 11:30,25.41263158,24.82163743,905.1842105,37.35,0.29,0.66,0,0
6/14/2019 11:30,24.87,24.16666667,844,41.65,0,1,0,0.04
6/14/2019 11:30,25.31,24.16666667,844,37.95,0.32,0.68,0,0.17
6/14/2019 11:30,25.01823529,24.24019608,851.8235294,39.15,0.31,0.67,0.02,0.07
6/14/2019 11:30,25.08363636,24.78787879,892.9090909,41.35,0,0.92,0.08,0.03
6/14/2019 11:30,24.57272727,24.66919192,888.8636364,35.25,0.36,0.64,0,0.12
6/14/2019 11:30,25.04,24.15740741,844,33.15,0.92,0.04,0,0.08
6/14/2019 11:30,25.18666667,25.16666667,901.3333333,36.05,0.84,0.16,0,0.02
6/14/2019 11:30,26.0274,24.91833333,897.59,38.05,0.35,0.65,0,0.04
6/14/2019 11:30,24.34363636,24.75,889.7727273,35.95,0.88,0.1,0.02,0.07
6/14/2019 11:30,25.126,25.07222222,900.8,41.25,0,1,0,0.05
6/14/2019 11:30,24.94,24.16666667,844,35.85,0.73,0.27,0,0.01
6/14/2019 11:30,24.253125,24.62326389,886.28125,35.45,0.78,0.22,0,0.1
6/14/2019 11:30,24.39714286,24.21428572,849,36.35,0.23,0.77,0,0.03
6/14/2019 11:30,24.6,24.80555556,894.6666667,36.55,0.68,0.32,0,0.24
6/14/2019 11:30,24.923,24.70833333,887.25,40.15,0,1,0,0.02
6/14/2019 11:30,26.47722222,25.04938272,897.4722222,40.55,0.09,0.91,0,0
6/14/2019 11:30,24.512,24.53888889,882.8,39.35,0.04,0.96,0,0.04
6/14/2019 11:30,25.25166667,24.79166667,879.8333333,34.95,0.8,0.2,0,0.01
6/14/2019 11:30,24.25,24.16666667,844,37.25,0.4,0.57,0.03,0.08
6/14/2019 11:30,24.44,24.13888889,851,35.95,0.63,0.26,0,0.05
6/14/2019 11:30,24.53,24.16666667,844,41.15,0,1,0,0.04
6/14/2019 11:30,24.82571429,24.22619048,849.5,39.05,0.67,0.33,0,0.13
6/14/2019 11:31,25.18210526,24.80409357,893.5,39.55,0.08,0.91,0,0.02
6/14/2019 11:31,27.47181818,24.51767677,879.4545455,41.35,0.08,0.72,0.2,0.08
6/14/2019 11:31,24.87,24.13888889,844,43.65,0,1,0,0.05
6/14/2019 11:31,24.72833333,24.57870371,882.1666667,39.45,0.22,0.76,0,0.07
6/14/2019 11:31,25.44,24.13888889,844,44.75,0.06,0.94,0,0
6/14/2019 11:31,26.19,24.13888889,844,44.05,0,1,0,0
6/14/2019 11:31,24.38363636,24.80808081,883.7727273,35.15,0.87,0.13,0,0.14
6/14/2019 11:31,24,24.13888889,844,36.05,0.23,0.44,0.02,0.01
6/14/2019 11:31,24.62744681,24.64007092,884.0851064,41.95,0.15,0.85,0,0.03
6/14/2019 11:31,23.87,24.13888889,844,38.85,0.16,0.83,0,0.13
6/14/2019 11:31,25.61375,25.09375,897.75,33.05,0.64,0.35,0,0.09
6/14/2019 11:31,25.03,24.875,887.75,33.95,0.92,0.02,0.03,0.2
6/14/2019 11:31,25.50677966,24.71610169,891.7881356,41.75,0,0.97,0.03,0.09
6/14/2019 11:31,24.905,24.13888889,844,31.65,0.64,0.25,0.09,0.07
6/14/2019 11:31,24.435,24.13888889,844,34.25,0.56,0.44,0,0.02
6/14/2019 11:31,24.80368421,24.66081871,893.2631579,40.05,0.11,0.81,0,0.02
6/14/2019 11:32,23.5,24.11111111,844,39.65,0.26,0.74,0,0.07
6/14/2019 11:32,23.37,24.10317461,844.3571429,38.75,0.14,0.86,0,0.05
6/14/2019 11:32,25.25,24.11111111,844,39.85,0.01,0.99,0,0.01
6/14/2019 11:32,25.19,24.11111111,844,38.35,0.09,0.91,0,0.06
6/14/2019 11:32,24.74125,24.60763889,888.4375,38.35,0.49,0.47,0,0.01
6/14/2019 11:32,25.56,24.125,844,40.35,0,1,0,0.03
6/14/2019 11:32,25.28,24.125,844,38.75,0.1,0.9,0,0.03
6/14/2019 11:32,24.88823529,24.77287582,893.1764706,40.95,0,1,0,0.02
6/14/2019 11:32,25.007,24.59444444,880.05,37.25,0.49,0.5,0,0.07
6/14/2019 11:32,24.43666667,24.38888889,869.6666667,38.85,0.18,0.56,0.01,0.24
6/14/2019 11:32,24.935,24.5625,875.25,42.25,0,1,0,0.08
6/14/2019 11:32,25.014,24.83888889,889.4,37.15,0.13,0.87,0,0.04
6/14/2019 11:32,25.25,24.36111111,870,38.85,0.06,0.94,0,0
6/14/2019 11:32,23.75,24.11111111,844,40.25,0.01,0.99,0,0.01
6/14/2019 11:32,26.87,24.11111111,844,43.95,0,1,0,0.03
6/14/2019 11:32,25.38126984,24.56834215,885.6031746,40.05,0.18,0.82,0,0
6/14/2019 11:32,24.56,24.11111111,844,39.45,0.26,0.74,0,0
6/14/2019 11:32,27.00142857,24.25396826,866.2857143,39.05,0.2,0.79,0.01,0.14
6/14/2019 11:32,24.56,24.11111111,844,35.45,0.77,0.21,0,0.1
6/14/2019 11:32,24.75,24.11111111,844,39.95,0.16,0.84,0,0.06
6/14/2019 11:32,24.23285714,24.07142857,845.7857143,39.75,0.17,0.8,0,0.15
6/14/2019 11:32,24.51969697,24.42676768,873.1515152,40.65,0.27,0.66,0.05,0.05
6/14/2019 11:32,25.95789474,25.34429824,913.8421053,41.45,0.46,0.52,0.02,0.09
6/14/2019 11:32,24.349,24.11111111,844,34.15,0.67,0.33,0,0.1
6/14/2019 11:32,24.87,24.11111111,844,39.95,0.42,0.58,0,0.05
6/14/2019 11:32,24.65851852,24.32921811,863.537037,39.75,0,1,0,0.01
6/14/2019 11:32,24.06,24.11111111,844,33.15,0.58,0.39,0.03,0.07
6/14/2019 11:32,24.66,24.625,881.95,40.05,0,0.99,0,0.08
6/14/2019 11:32,24.31,24.72222222,883.5,39.55,0.53,0.47,0,0.17
6/14/2019 11:32,24.25,24.11111111,844,39.25,0.39,0.55,0.06,0.15
6/14/2019 11:32,24.81,24.11111111,844,39.15,0,1,0,0.01
6/14/2019 11:32,25.69,24.11111111,844,39.85,0.33,0.67,0,0.15
6/14/2019 11:32,25.315,24.11111111,844,38.55,0.14,0.86,0,0
6/14/2019 11:33,23.31,24.05555556,846.5,43.25,0.27,0.73,0,0.03
6/14/2019 11:33,25.25,24.05555556,846.5,42.35,0,1,0,0
6/14/2019 11:33,25.94,24.05555556,846.5,42.65,0,1,0,0
6/14/2019 11:33,23.5,24.05555556,846.5,39.65,0.35,0.65,0,0.04
6/14/2019 11:33,24.98666667,24.10127315,860.6597222,42.05,0,1,0,0.02
6/14/2019 11:33,23.855,24.25,860.875,35.65,0.38,0.6,0,0.18
6/14/2019 11:33,25.37,24.05555556,846.5,38.35,0.01,0.99,0,0.04
6/14/2019 11:33,23.25,24.05555556,846.5,38.45,0,1,0,0
6/14/2019 11:33,23.31,24.05555556,846.5,39.85,0.1,0.9,0,0.07
6/14/2019 11:33,25.12,24.33333333,871.25,38.35,0.59,0.41,0,0.13
6/14/2019 11:33,24.97,24.33333333,871.25,38.35,0.31,0.69,0,0.27
6/14/2019 11:33,24.49214286,24.22222222,860.6428571,38.75,0.33,0.67,0,0.13
6/14/2019 11:33,25.46,24.55555556,884.2,38.65,0.35,0.53,0,0.09
6/14/2019 11:33,23.905,24.33333333,868.75,38.35,0.59,0.41,0,0.15
6/14/2019 11:33,25,24.69444444,884.75,41.55,0.48,0.52,0,0.03
6/14/2019 11:33,28.315,24.40705128,877.3653846,39.05,0.28,0.71,0.01,0.06
6/14/2019 11:33,24.31,24.05555556,846.5,39.05,0.67,0.32,0.01,0.13
6/14/2019 11:33,23.9025,24.05555556,846.5,38.65,0.55,0.45,0,0.19
6/14/2019 11:33,23.44,24.05555556,846.5,40.75,0.36,0.64,0,0.02
6/14/2019 11:33,25.41666667,24.64814815,895.1666667,38.65,0.41,0.58,0,0.07
6/14/2019 11:33,23.5,24.05555556,846.5,40.45,0.49,0.51,0,0.02
6/14/2019 11:33,24.25,24.05555556,846.5,39.75,0.12,0.85,0.03,0.1
6/14/2019 11:33,24.4375,24.60416667,883.8125,39.65,0.11,0.89,0,0.04
6/14/2019 11:33,23.69,24.05555556,846.5,38.65,0.28,0.72,0,0.06
6/14/2019 11:33,24.22666667,24.60185185,889.5,39.35,0.43,0.57,0,0.06
6/14/2019 11:33,25.65571429,24.76984127,897.0714286,39.35,0.24,0.72,0,0.08
6/14/2019 11:33,24.21833333,24.56481482,881.25,37.85,0,1,0,0.1
6/14/2019 11:33,26.96125,24.62847222,884.0625,38.05,0.52,0.48,0,0.08
