latitude,longitude,Time,temp_station,solar_station,LST,veg_p,man_p,wat_p,canopy_p,AAT,date
33.957459,-83.412591,2019-06-14 11:58:00,76.3,893.0,39.25,0.0,1.0,0.0,0.03,26.94,2019-06-14
33.999075,-83.335,2019-06-14 11:48:00,76.0,875.0,38.25,0.01,0.99,0.0,0.06,23.78,2019-06-14
33.933193,-83.370833,2019-06-14 12:22:00,76.65833333,900.9166667,37.55,0.32,0.68,0.0,0.0,27.95666667,2019-06-14
33.925388,-83.376829,2019-06-14 12:15:00,76.75,915.0,36.45,0.58,0.34,0.0,0.14,34.69,2019-06-14
33.962666,-83.370485,2019-06-14 12:27:00,78.15,917.0,35.15,0.34,0.66,0.0,0.01,26.75,2019-06-14
33.989423,-83.338464,2019-06-14 11:34:00,75.2,849.0,40.85,0.04,0.96,0.0,0.01,24.685,2019-06-14
33.925214,-83.333438,2019-06-14 12:07:00,76.7,904.0,41.05,0.3,0.69,0.0,0.02,24.44,2019-06-14
33.942591,-83.376961,2019-06-14 12:03:00,76.64642857,898.7142857,42.35,0.0,1.0,0.0,0.0,25.30642857,2019-06-14
33.977218,-83.393555,2019-06-14 12:14:00,76.7,912.0,37.45,0.12,0.88,0.0,0.01,26.0,2019-06-14
33.95576,-83.349915,2019-06-14 12:26:00,78.1,904.0,35.05,0.13,0.83,0.03,0.02,26.56,2019-06-14
33.95174,-83.353427,2019-06-14 12:24:00,77.7,921.0,32.95,0.95,0.05,0.0,0.21,27.0,2019-06-14
33.933915,-83.371925,2019-06-14 11:46:00,76.21153846,887.2307692,35.45,0.28,0.69,0.0,0.05,24.55153846,2019-06-14
33.95016,-83.374481,2019-06-14 11:30:00,76.61818182,892.9090909,41.35,0.0,0.92,0.08,0.03,25.08363636,2019-06-14
33.949047,-83.376031,2019-06-14 11:30:00,76.40454545,888.8636364,35.25,0.36,0.64,0.0,0.12,24.57272727,2019-06-14
33.938269,-83.372471,2019-06-14 11:43:00,75.5,869.0,36.05,0.85,0.15,0.0,0.27,24.25,2019-06-14
33.99888,-83.41408,2019-06-14 12:10:00,76.8,907.0,35.05,0.9,0.1,0.0,0.01,28.37,2019-06-14
33.94392,-83.370718,2019-06-14 12:14:00,76.7,912.0,36.85,0.26,0.74,0.0,0.03,25.37,2019-06-14
33.976258,-83.355208,2019-06-14 11:31:00,75.45,844.0,34.25,0.56,0.44,0.0,0.02,24.435,2019-06-14
33.938664,-83.372341,2019-06-14 11:43:00,76.8,900.3333333,36.05,0.99,0.0,0.01,0.08,24.95666667,2019-06-14
33.945696,-83.407131,2019-06-14 11:35:00,75.25,851.5,44.65,0.49,0.51,0.0,0.01,24.25,2019-06-14
33.945414,-83.371084,2019-06-14 11:32:00,76.59117647,893.1764706,40.95,0.0,1.0,0.0,0.02,24.88823529,2019-06-14
33.952711,-83.387524,2019-06-14 11:41:00,76.025,885.0,38.85,0.27,0.72,0.0,0.14,24.28,2019-06-14
33.995793,-83.426589,2019-06-14 12:07:00,76.7,904.0,32.65,0.82,0.0,0.0,0.04,23.5,2019-06-14
33.952168,-83.372242,2019-06-14 11:44:00,75.95,873.1666667,40.75,0.08,0.92,0.0,0.04,25.41333333,2019-06-14
33.956275,-83.376541,2019-06-14 12:10:00,76.8,907.0,40.85,0.11,0.8,0.09,0.1,25.12,2019-06-14
33.929554,-83.380577,2019-06-14 12:02:00,76.3,896.0,31.95,0.94,0.03,0.0,0.12,25.69,2019-06-14
34.002879,-83.35081,2019-06-14 11:40:00,75.2,861.0,35.65,0.58,0.42,0.0,0.03,24.03,2019-06-14
33.94303,-83.377413,2019-06-14 12:22:00,77.175,915.125,39.15,0.0,1.0,0.0,0.05,24.985,2019-06-14
33.978076,-83.393691,2019-06-14 12:00:00,76.3,891.0,41.45,0.43,0.57,0.0,0.05,24.12,2019-06-14
33.971695,-83.366438,2019-06-14 11:51:00,76.15,880.0,37.65,0.63,0.37,0.0,0.01,25.69,2019-06-14
33.944749,-83.370963,2019-06-14 11:40:00,75.96666667,881.6666667,40.35,0.31,0.69,0.0,0.12,24.93666667,2019-06-14
33.942324,-83.370946,2019-06-14 12:24:00,76.40535714,883.5,38.95,0.43,0.56,0.0,0.07,24.92535714,2019-06-14
